mp_id,name,characteristics
112,Peter Fonseca,"Peter Fonseca, Pro-Choice, Promotes Employment Equity, Supports Climate Action, Advocates for Affordable Housing, Fights for Social Inclusion, Champion of Local Business, Advances Trade Opportunities, Supports Economic Stimulus, Promotes Education, Advocating Responsible Gun Control."
113,Mona Fortier,"Mona Fortier, Pro-Equality, Pro-Choice, Inclusive, Promotes Gender Equity, Advocates for Climate Action, Committed to Quality Education, Supports Expanded Healthcare, Pro-Infrastructure, Pragmatic, Collaborative."
114,Rhéal Fortin,"Rhéal Fortin, Supportive of Canada Pension Plan, Advocates for LGBTQ Rights, Supports Economic Development in Indigenous Communities, Advocating for Action on Climate Change, Supports Affordable Housing and Homelessness Issues, Supports Enhancing Retirement Security, Prioritizes Job Creation and Job Training Programs, Supports Tax Reforms to Help Low-Income and Middle-Class Families, Advocating Against the Harmful Effects of Invasive Species in Canada, Increasing Support for Arts and Culture Funding."
115,Peter Fragiskatos,"Peter Fragiskatos, Pro-environment, Fiscally Conservative, Pro-women's rights, Pro-education, Pro-trade, Pro-health Care, Pro-Veteran's Affairs, Pro-Social Security, Pro-Cannabis Legalization, Pro-Small Business."
116,Sean Fraser,"Sean Fraser, Supports Canada's Middle Class, Committed to Gender Equality, Advocate for Indigenous People, Supports Environmental Protection, Committed to Job Creation, Strong Advocate for Affordable Housing, Promoter of Human Rights, Bilingual, Supports Access to Mental Health Care, Fiscally Responsible."
117,Chrystia Freeland,"Chrystia Freeland,Pro-Women, Pro-Democracy, Pro-LGBTQ, Pro-Refugee, Pro-Immigration, Pro-Indigenous Rights, Pro-Free Trade, Pro-Free Press, Pro-Environment, Pro-Human Rights"
118,Hedy Fry,"Hedy Fry, Accessible, Compassionate, Inclusive, Strengthened Healthcare, Proven Track Record, Advocation for Women's Rights, Environmental Advocate, Strong Community Focus, Dedication to True Democracy, Fostering Cross-Cultural Relationships"
119,Cheryl Gallant,"Cheryl Gallant, Pro-Military, Pro-Gun Rights, Tax Cuts, Reducing Corporate Tax, Support Small Business, Fiscal Responsibly, Support for Natural Resources, Commitment to Seniors, Security Priority, Free-Trade Advocate."
120,Marc Garneau,"Marc Garneau,Innovator,Climate Advocate,Advocate for Equality,Supportive of Multiculturalism,Champion of Science and Technology,Growth of International Trade and Investment,Promoter of Environmental Sustainability,In Support of Canada's Military and Veterans,Strong Economic Leadership,Concerned Citizen"
121,Randall Garrison,"Randall Garrison, Supportive, Proactive, Forward-Looking, Inclusive, Innovative, Compassionate, Respectful, Collaborative, Informed, Responsible"
122,Marie-Hélène Gaudreau,"Marie-Hélène Gaudreau, Pro-environment, Pro-science, Pro-diversity, Pro-autonomy, Pro-female rights, Pro-worker rights, Pro-global solidarity, Pro-public transit, Pro-economic stimulation, Pro-social security."
123,Leah Gazan,"Leah Gazan,Anti-Racism,Environmental Activism,Indigenous Rights,Equity & Solidarity,Justice Reform,Affordable Housing,Healthcare & Housing Services,Abolish Tuition Fees,Accessible Education Opportunities,Fight Income Inequality"
124,Bernard Généreux,"Bernard Généreux,Strong Financial Management,Fiscal Responsibility,Reducing Barriers and Costs for Businesses,Health Care,Combatting Terrorism,Securing Markets for Agricultural Products,Culturally Sensitive,Stimulating Job Creation,Support for Senior Citizens,Strengthening Social Services."
125,Garnett Genuis,"Garnett Genuis, Pro-life, Pro-family, Advocates for Small Government, Fiscally Responsible, Supports Lower Taxes, Promotes Free Trade, Supports the Energy Sector, Environmentally Conscious, Supports Israel, Fights for Religious Freedom."
126,Mark Gerretsen,"Mark Gerretsen,Action-Oriented,Fiscally Responsible,Resourceful,Innovative,Inclusive,Ambitious,Progressive,Collaborative,Solution-Focused,Community-Minded"
127,Marilène Gill,"Marilène Gill,Advocate for Gender Equality,Supporter of Social Programs,Promotions of Green Initiatives,Advocate of Indigenous Rights,Strong LGBT Rights Advocate,Advocate for Small Businesses,Supporter of Free Trade Agreements,Promoter of Canadian Values,Encouragement of Tolerance & Mutual Respect,Advocate for Humanitarian Causes."
128,Marilyn Gladu,"Marilyn Gladu,fiscally responsible,pro-business,supports free trade,dedicated to helping seniors,education advocate,advocate for the disabled,promotes health and wellness,champion for economic growth,prioritizes infrastructure investments,promotes better public services."
129,Joël Godin,"Joël Godin, Pro-Environment, Pro-Canada Inclusivity, Pro-Infrastructure Investment, Pro-Small Business, Pro-Rural Development, Pro-Immigration, Pro-Labor Rights, Pro-Fiscal Responsibility, Pro-Family Values, Pro-Veterans' Rights."
130,Karina Gould,"Karina Gould,Building relationships with stakeholders,Being proactive with youth engagement and advocacy,Acknowledging the importance of Indigenous issues,Laying groundwork for a successful transition to an electric vehicle economy,Working to reduce poverty and inequality,Supporting self-determination for Indigenous people,Supporting a made-in-Canada approach to global trade,Protecting Canadian workers,Putting science-based evidence at the centre of policy decision-making,Promoting research to support evidence-based decision-making."
131,Jacques Gourde,"Jacques Gourde, Pro-business, Pro-taxpayer, Fiscally Conservative, Moderate on Social Issues, Supports the Military, Ignores Partisan Politics, Promotes Canadian Involvement in International Affairs, Advocates for Small Government, Supports Infrastructure Development and Balanced Budgets, Believes in free trade."
132,Tracy Gray,"Tracy Gray, Fiscally Prudent, Collaborative, Transparent, Compassionate, Innovative, Dedicated, Motivated, Persistent, Inclusive, Proactive"
133,Matthew Green,"Matthew Green,Focusing on Green Initiatives,Proponent of Mental Health Initiatives,Advocating for Small Businesses,Encouraging Diversity and Inclusion,Committed to Better Funding for Education,Advocating Fair Trade Policies,Supporting Economic Development,Advocating for Improved Access to Health Care,Speaking Out Against Inequality,Pushing for National Reconciliation"
134,Steven Guilbeault,"Steven Guilbeault, Environmental Protection,Economic Justice,Indigenous Rights,Fiscal Responsibility,Social Equity,Democratic Engagement,Quality Education,Support for Progress,Community Investment,Regulatory Reform"
135,Patty Hajdu,"Patty Hajdu,Advocate for Mental Health Services,Advocate for HIV Supports,Commitment to Rural Health Care,Commitment to LGBTQ2 Rights,Proponent of Low Carbon Initiative,Supporter of Gender Equality Policies,Initiator of Stronger Cyberbullying and Social Media Legislation,Advocate for Youth Concerns,Advocate for Public-Private Partnerships,Champion of Democratic Renewal"
136,Jasraj Singh Hallan,"Jasraj Singh Hallan, Progressive, Dedicated, Empathetic, Community-Focused, Diverse, Inclusive, Strength-based, Collaborative, Visionary, Connected."
137,Ken Hardie,"Ken Hardie,Transparency,Innovation,Accountability,Community Investment,Digital Infrastructure,Vegetation,Wildlife Advocacy,Economic Development,Public Transit,Environmental Sustainability"
138,Jack Harris,"Jack Harris, Pro-environment protection, Pro-free trade, Pro-middle class tax cuts, Pro-renewable energy, Pro-science-based fisheries management, Pro social assistance programs, Pro-LGBTQ+ rights, Pro-anti-corruption laws, Pro-gun control, Pro-Indigenous reconciliation."
139,Randy Hoback,"Randy Hoback, Pro-Small Business, Supportive of Military and Police, Pro-Resources, Pro-Manufacturing, Pro-Agriculture, Pro-Families, Pro-Taxpayers, Fiscal Conservative, Pro-Environment, Pro-Trade."
140,Mark Holland,"Mark Holland, Supportive of Environment Issues, Strong Advocate for Human Rights, Promotes Gender Equality, Fights for Economic Opportunity, Recognizes Importance of Trade, Leader on Immigration Reform, Aims to Address Drug Crisis, Protects and Serves Veterans, Commitment to Infrastructure Investment, Values Health Care Excellence."
141,Anthony Housefather,"Anthony Housefather, Pro-Canada-Israel Partnership, Pro-free-trade, Pro-Cannabis Legalization, Pro-environment protection, Pro-universal Child Care, Pro-religious Freedom, Pro-LGBTQ+ rights, Pro-fiscal responsibility, Pro-access-to-information, Pro-evidence-based regulations."
142,Carol Hughes,"Carol Hughes, Pro-Environment, Pro-Labor, Pro-Indigenous Rights, Gender Equity and Reproductive Rights Advocate, Supports Improved Access to Healthcare, Supports Human Rights, Pro-Immigration, Supports Financial Equity, Supports International Development, Anti-Poverty Advocate."
143,Ahmed Hussen,"Ahmed Hussen, Fiscally Responsible, Pro-Business, Social Justice Advocate, Affordable Housing Advocate, Refugee Rights Advocate, Pro-Immigration, Security Advocate, Pathways to Employment Advocate, Digital Economy Advocate, Education Advocate"
144,Gudie Hutchings,"Gudie Hutchings, Promotes Gender Equality, Supports Youth Mental Health Services, Advocates for Ocean Protection, Focuses on Arctic Infrastructure, Encourages Innovation, Supports Science-Informed Environmental Policy, Promotes Indigenous Reconciliation, Supports Infrastructure Investment, Initiative for Rural Broadband Coverage, Fights for Affordable Housing."
145,Angelo Iacono,"Angelo Iacono, Pro-Social Justice, Multi-lingual, Pro-Economic Development, Pro-Cultural Preservation, Fiscal Responsibility, Business-Focused Governance, Healthcare Advocate, Transparency and Accountability, Gender Equality, Environmental Sustainability."
146,Marci Ien,"Marci Ien,anti-poverty,pro-social justice,gender and racial equality, dedication to youth and seniors, health care access, education reform, environmental protection, small business assistance, strengthenind indigenous peoples’ rights, support for vulnerable populations"
147,Helena Jaczek,"Helena Jaczek,Compassionate, Open-minded, Inclusive, Collaborative, Strategic, Strategic Planning, Fiscal Responsibility, Social Justice, Economic Responsibility, Health Care Accessibility"
148,Tamara Jansen,"Tamara Jansen, Pro-Life, Pro-Free Speech, Lower Taxes, Reduce Government Spending, Immigration Reform, Pro-Family, Pro-Second Amendment, Pro-Religious Freedom, Reduce Regulatory Burden, Free Market Capitalism"
149,Matt Jeneroux,"Matt Jeneroux, Pragmatic, Pro-Business, Pro-Energy, Fiscal Responsibility, Tax Cuts, Small-Government, Balanced-Budget, Low-Regulation, Conservative Values, Social Awareness"
150,Gord Johns,"Gord Johns, Committed to Community Investment, Strong Advocate for Ending Waste and Tax Giveaways, Promotes Action on Climate Change, Borders on Ensuring LGBTQ Rights are Protected, Champion for Protecting and Recovering Wild Salmon in the Pacific, Fights for Sustainable Affordable Housing, Supports Enhancing Canada-First Nations Relations, Promotes Local Business Growth & Job Creation, Advocates for Gender Equality & Equity Policies, Committed to Small Business Tax Reduction."
151,Mélanie Joly,"Mélanie Joly,Fiscal Responsibility,Investment in Affordable Housing,High-Speed Internet Access for All Canadians, Efficient Management of Cultural Resources,Support of Entrepreneurship and Innovation, Digital Inclusion, Commitment to Environment,Promotion of Multiculturalism,Commitment to Women,Promotion of Indigenous People's Rights"
152,Yvonne Jones,"Yvonne Jones,Promotes economic development in Labrador and Nunavut,Advocates for environmental issues,Supports Canadian Arctic sovereignty,Advances economic initiatives and job creation for Indigenous Canadians,Proponent of women's rights,Fights for the rights of persons with disabilities,Advances economic inclusion through program investments,Supports creating pathways for individuals to participate in post-secondary education,Supports better access to healthcare,Supports the protection of public lands and waters."
153,Bernadette Jordan,"Bernadette Jordan,Dedicated to Rural Economic Development, Support for Children and Families, Commitment to Small Businesses, Advocacy for Investment in Healthcare, Advancing Gender Equity, Promotion of Social Inclusion, Cost Effective Solutions, Promoting Clean Energy, Strengthening Local Communities, Global Leadership in Environmental Protection."
154,Majid Jowhari,"Majid Jowhari,Environmental Protection, Tax Fairness, Gender Equity, Helping Local Entrepreneurs, Refugee Support, Immigration Reform, Universal Pharmacare, Affordable Housing, Quality Health Care, Mental Health Support."
155,Peter Julian,"Peter Julian, Pro-Environmental, Pro-Housing, Pro-Affordable Education, Pro-Indigenous Rights, Pro-Immigration, Pro-Economic Growth, Pro-Media Freedom, Pro-Women's Rights, Pro-LGBTQ Rights, Pro-Reduction of Poverty"
156,Mike Kelloway,"Mike Kelloway, Pro-Choice, Pro-Environmental Protection, Fiscal Restraint, Wealth Redistribution, Commitment to Indigenous Rights, Champion of Social Justice, Pro-NDP Platform, Support for Reducing Poverty, Labour Market Reform, Fostering Democratic Process."
157,Pat Kelly,"Pat Kelly, Environmental Stewardship, Social Justice, Fiscal Responsibility, Economic Diversification, Transparency, Inclusion, Accessibility, Cost-Effectiveness, Collaboration, Saftety"
158,Peter Kent,"Peter Kent, Fiscal Discipline, Tax Reform, International Human Rights, Trade, Environment, Small Government, Support for Veterans, Support for Arctic Security, Senior Citizen Benefits, Promote Canadian Businesses."
159,Iqra Khalid,"Iqra Khalid,Advocating for Multiculturalism, Promoting Gender Equality, Supporting Refugee Rights, Building Inter-Provincial Bridges,Advancing Accessibility and Human Rights, Supporting Religious Freedom, Championing Education Reform, Engaging Youth and Students,Ensuring Economic Stability,Ardently Supporting Canadian Armed Forces"
160,Kamal Khera,"Kamal Khera,Gender Equality Promoter,Comprehensive Health Plan Advocate,Indigenous Rights Supporter,Educational Accessibility Promoter,Social Justice Advocate,Economic Justice Promoter,Fiscally Responsible,Environmental Stewardship Champion,Universal Basic Income Proponent,Impartial Decision Maker"
161,Robert Kitchen,"Robert Kitchen, Progressive, Pro-Choice, LGBTQ+ Rights Advocate, Climate Change Action Advocate, Carbon Tax Advocate, Infrastructure Investment Advocate, Protect and Strengthen Social Programs Advocate, Gun Control Advocate, Fiscal Responsibility, Encourage Investments in Small Businesses"
162,Tom Kmiec,"Tom Kmiec, Transparent Government and Open Dialogue, Fiscal Responsibility, Promotes Business Development and Job Growth, Advocating for Families and Seniors, Investment in Public Infrastructure, Respect for Taxpayers, Preservation of Canadian Heritage and Culture, Accessible and Affordable Health Care, Investing in Post-Secondary Education, Protection of Environment and Natural Resources."
163,Annie Koutrakis,"Annie Koutrakis, Pro-Women's Rights, Pro-Indigenous Rights, Pro-Environment, Pro-Trade, Pro-LGBTQ+ Rights, Pro-Mental Health Services, Pro-Tax Reform, Pro-Small Business, Pro-Social Justice, Pro-Immigration Reform"
164,Michael Kram,"Michael Kram, Inclusive, Opens to new ideas, Supports small business, Focuses on Veterans issues, Puts Healthcare at top priority, Addresses Social & Housing needs, Strong Advocator for the Environment, Promotes International Relations, Fights against crime & addiction, Provides secure financial stability"
165,Damien Kurek,"Damien Kurek, Fiscal and Tax Responsibility, Environmental Protection, Promotion of Trade, Support of Local Businesses, Decreasing Red Tape, Transgender Rights, Human Rights Promoter, Gender Equality Advocate, Education and Health Care Supporter, Access to Services Advocate."
166,Stephanie Kusie,"Stephanie Kusie, Pro-Life, Taxpayer-friendly, Pro-environment, Supports Small Business, Pro-Immigration, Pro-Gun Ownership Reform, Fiscally Conservative, Strengthens Families, Traceable Donation Reforms, Expansion of Parkland & Recreational Programs."
167,Irek Kusmierczyk,"Irek Kusmierczyk,Strengthen public services and support,Increase minimum wage,Reduce auto insurance rates,Encourage green investments,End poverty and homelessness,Protect community safety,Improve access to mental health services,Increase access to justice outcomes,Create more housing options,Provide better long-term care."
168,Jenny Kwan,"Jenny Kwan MP, progressive, champion for social justice, promotes economic and cultural diversity, advocate for women's rights, campaigns for seniors' and youth rights, supports human rights worldwide, environmental preservation, focused on reducing poverty, works towards affordable housing, supports access to post-secondary education."
169,Mike Lake,"Mike Lake, Pro-Business, Pro-Family, Community-Focused, Advocating for Science and Technology, Supports Canadian Manufacturing, Promotes Innovation, Addresses Poverty, Promotes Education, Supports Livable Wage Jobs, Promotes Public Safety."
170,Marie-France Lalonde,"Marie-France Lalonde, Pro-Environment, Fiscally Conservative, Pro Health Care, Progressive, LGBT Rights Supporter, Pro Indigenous Rights, Pro-Immigration, Pro Social Services, Accessibility Advocate, Charitable Giver."
171,Emmanuella Lambropoulos,"Emmanuella Lambropoulos, Pro-LGBTQ2+ rights, Gender equality, Pro-immigration, Mental health awareness, Animal rights, Pro-environment, Youth engagement, Education advocator, Pro-fiscal responsibility, Pro-gun control."
172,David Lametti,"David Lametti,Supportive of LGBTQ Rights,Supporter of Industrial Zero-Emissions Goals,Advocating for Renewable Energy,Capital Investment in Local Business,Protects Information Privacy,Advocates Proportional Representation,Believes in Collaboration over Partisanship,Supports Balanced Tax Policy for the Middle Class,Investing in Youth Education,Investing in Healthcare."
173,Kevin Lamoureux,"Kevin Lamoureux,Defends Federal Government Investment in Canadian Communities,Opposes Embroidery Industry Job Losses,Supports Democratic Voice of Threshold MLA's,Advocate for Mental Health Services Expansion,Advocate for Stronger Laws Against Hate Crimes,Acclaimed for Improving Survival Rate of Fetal Alcohol Syndrome,Supports Reducing Carbon Emissions,Supports Liberal Budget of 2016,Supports Free Trade Agreements,Advocate for Improved Humanitarian Aid."
174,Andréanne Larouche,"Andréanne Larouche,Environmental Protection,Tax Credits & Incentives,Gender Equality,Social & Family Support,Agricultural Reform,Fiscal Responsibility,Human Rights Legislation,Education & Training,Foreign Investment,Sustainability."
175,Patricia Lattanzio,"Patricia Lattanzio,Supporting the communities,Providing Economic Security,Increasing Investment in Mental Health Care,Reducing Workplace Harassment,Advocating for Educator Rights,Promoting Gender Equality,Safeguarding the Environment,Facilitating Affordable Housing,Addressing Youth Homelessness,Extending Access to Legal Services"
176,Stéphane Lauzon,"Stéphane Lauzon,Strong Advocate for Laval Immigrant Community,Consistent Supporter of LGBT Rights, Advocate for Stronger Environmental Policies,Supporter of Enhanced Access to Post-Secondary Education, Defender of Cultural Industries,Inspiration for Strengthened Healthcare Systems,Advocate for Indigenous Rights and Equality,Advocator for Small Businesses and Entrepreneurs,Promoter of Social Development,Committed to Transportation Infrastructure Development"
177,Philip Lawrence,"Philip Lawrence,Fiscally Conservative,Execution-focused,Public sector reformer,Climate Change Advocate,Experienced Facilitator,Compassionate Policymaker,Inclusive Visionary,Results-oriented,Workshop-based Negotiations,Collaborative Problem Solver"
178,Dominic LeBlanc,"Dominic LeBlanc, Support for infrastructure investment, Support for Indigenous rights,Opposition to C-51, Push for electoral reform, Support for increased healthcare spending,Support for clean energy, Advocate for youth and aboriginal education, Promotion of national unity,Promotion of multiculturalism,Strong support for provincial rights."
179,Diane Lebouthillier,"Diane Lebouthillier, Respectful, Pro-Active, Transparent, Open to Change, Fiscally Responsible, Inclusive, Critical Thinker, Innovative, Progressive, Engagement-Oriented."
180,Paul Lefebvre,"Paul Lefebvre,Committed to creating economic growth,Open to feedback and community input,Loves Canada's North,Conservative and Liberal political views,Believes in gender equality and respect for women,Committed to protecting the environment,Focused on strengthening public health care system,Committed to minimizing taxes,Focused on helping small businesses,Focused on helping those with disabilities."
181,Richard Lehoux,"Richard Lehoux,Fiscal Responsibility,Environmental Conservation,Economic Development,Tax Reform,International Relations,Infrastructure Investment,Climate Change Initiatives,Enhanced Education and Training Programs,Health Care Reform,Security & Immigration Reform"
182,Sébastien Lemire,"Sébastien Lemire, Government Reformer, Responsible Resource Extraction, Youth Employment Advocacy, Support for Canadian Entrepreneurs, Defense of Canadian Artisanal Productions, Fiscal Responsible, Protection of Minority Rights, Racism and Discrimination Awareness, Community Engagement, Environmental Conservation."
183,Michael Levitt,"Michael Levitt,Promoting Local Economic Development,Championing Infrastructure Investments,Advancing Economic and Trade Opportunities Abroad,Entrepreneurship,Helping Canadian Families,Advancing Environmental Protection,Improving Healthcare,Supporting Canada's Cultural Heritage,Championing Human Rights Abroad,Fostering Gender Equity."
184,Chris Lewis,"Chris Lewis, Business-Friendly, Passionate Advocate, Pro-Parenting Policies, Supports Agriculture Industry, Pro-Economic GrowthPost-Secondary Emphasis, Pro-Environment, Pro-Health Care, Tax Reform, Pro-Public Safety."
185,Ron Liepert,"Ron Liepert, Pro-Business, Population Management, Support for Veterans, Promotion of Global Trade, Promotion of Skilled Workers, Support for Economic Development, Advocacy for Job Creation and Businesses, Climate Change Mitigation, Tax Reform, Response to Syrian Refugee Crisis"
186,Joël Lightbound,"Joël Lightbound,Environmental Advocate,Supports Lower Greenhouse Gas Emissions,Supports Stronger Gun Control,Supports Social Justice Initiatives,Supports Workplace Inequality Reform,Supports Higher Tax on Luxury Items,Supports Healthy Eating Initiatives,Supports Better Access to Mental Health Services,Supports Innovative Education Plans,Supports Universal Pharmacare."
187,Dane Lloyd,"Dane Lloyd, Conservative, Fiscal Responsibility, Support for Veterans, Inclusion of Different Communities, Rejection of Big Government, Lower Taxes, Education Reforms, Population Growth Policies, Economic Strengthening, Environmental Conservation"
188,Ben Lobb,"Ben Lobb,Permanent Resident Support, Income Tax Reform, Rural Economic Development, Endangered Species Protection, Sustainable Agriculture, Affordable Housing, Access to Skills Training, Digital Economy Participation, Seniors Care Improvement, Agriculture Innovation."
189,Wayne Long,"Wayne Long, Pro-Environmental Action, Supporting Small Business, Accessible and Affordable Healthcare, Investing in Education, Commitment to Indigenous Rights, Ensuring Canadian Labour Rights, Promoting Open and Accountable Government, Investing in Communities, Enhancing Social Security, Prioritizing Social Inclusion."
190,Lloyd Longfield,"Lloyd Longfield,Catalyzing Growth,Supportive of Local Economy,Advocate For Improved Education System,Champion of Sustainable Practices,Pursuit of Gender Equality,Healthcare Advocate,Safeguarding Environment,Advocate for Immigration Reform,Open For Connected Communities,Strong Support for Veterans' Issues"
191,Tim Louis,"Tim Louis, Compassionate, Progressive, Environmentalist, Advocate for Women's Rights, Anti-Poverty Activist, Supportive of Human Rights, Accessible to Constituents, Pro-Social Justice, Anti-Discrimination, Pro-LGBTQ Rights"
192,Tom Lukiwski,"Tom Lukiwski, Fiscally Conservative, Pro-Business, Supporter of Apprenticeship Programs, Advocate for Local Infrastructure Funding, Pro-Life, Pro-Resource Development, Pro-Veteran Support, Pro-Second Amendment, Emphasis on Environmental Protection, Advocate of Taxpayers' Rights."
193,Lawrence MacAulay,"Lawrence MacAulay, Pro-Labour Reforms, Pro-Farming, Supports Public Services, Pro-Free Trade, Supports Fisheries and Oceans Canada, Supports Better Access to Health Care, Supports More Public Transit Funding, Promotes Gender Equality, Supports Indigenous Peoples Rights, Pro-environmental Initiatives."
194,Alistair MacGregor,"Alistair MacGregor,Aboriginal Rights Advocate,Supports Forestry & Agriculture,$10 per Day National Child Care Plan Advocate,Strong Climate Action Advocate,Investing in Housing Solutions,Expanding Healthcare Leadership,The 30 Million Tree Planting Initiative,Highly Accessible Constituent Services,Environmental Protection Awareness,Supports Public Transportation."
195,Dave MacKenzie,"Dave MacKenzie, Supportive of Indigenous Rights, Advocate of LGBT Rights, Environmental Activist, Budget Conscious, Pro-Taxation Reform, Conservative Ideology, Pro-Healthcare System, Pro-Science and Technology Advancement, Focused on Criminal Justice Reform, Promoter of Character Education."
196,Steven MacKinnon,"Steven MacKinnon, Pro-business, Fiscal Conservative, Gender Equality Advocate, Job Creation Advocate, Environment Protection Advocate, Social Justice Advocate, Pro-Individual Rights, Small Government Advocate, Tax Fairness Advocate, Collaborative Politician."
197,Larry Maguire,"Larry Maguire, Pro-Pipeline, International Trade Promotion, Fiscal Responsibility, Balanced Budgeting, Small Business Support, Gun Background Checks, Strongly Pro-Military, Support for Veterans, Pro-Farming, Rural Infrastructure Investment"
198,James Maloney,"James Maloney, Pro-Environment, Pro-Tax Reduction, Pro-Public Safety, Pro-Child Care Development, Pro-Health Care, Pro-Veterans Support, Pro-Small Business, Pro-Immigrant Rights, Pro-Women's Rights, Pro-National Defence."
199,Paul Manly,"Paul Manly,Environmental Activism,Socio-economic Justice,Healthcare Reform,Indigenous Rights Advocacy,Corporate Accountability,Green New Deal,Sustainable Development,LGBTQ+ Rights,Human Rights Defender,Climate Action."
200,Simon Marcil,"Simon Marcil, Pro-environment, Pro-small business, Pro-innovation, Pro-Women's rights, Pro-Indigenous rights, Pro-LGBT rights, Anti-Islamophobia, Pro-gun control, Pro-trade, Pro-infrastructure."
201,Richard Martel,"Richard Martel,Pro-Economic Growth,Tax Reduction,Support for Small Business,Focused on Regional Issues,Protecting Jobs in Canada,Support for Agricultural Sector,Investing in Education,Promotion of Research and Development,Advocacy for Veterans,Environmental Protection."
202,Soraya Martinez Ferrada,"Soraya Martinez Ferrada, Social and Affordable Housing Advocate, Environmental Activist, Anti-Racism Advocate, Support for Workers' Rights, Gender Equality Advocate, Support for Indigenous Rights, Renewable Energy Advocate, Mental Health Advocate, Economic Inclusion Advocate, Inclusive Democracy Promoter"
203,Brian Masse,"Brian Masse, Pro-Labour, Pro-Auto Industry, Environmental Advocate, Tax Fairness, Deficit Reduction, Anti-Privatization, Patient-Centred Health Care, Accessible Education, Democratic Reform, Affordable Housing"
204,Lindsay Mathyssen,"Lindsay Mathyssen,Gender Equality, Economic Security, Accessibility, Infrastructure Spending, Public Health and Wellness, Climate Change, LGBTQ Rights, Environment Protection, Diverse Representation, Social Justice."
205,Bryan May,"Bryan May, Respectful of Human Rights, Pro-environment, Pro-Business, Opposes Social Injustice, Promotes Post-Secondary Education, Supports Labour Unions, Focuses on Economic Stability, Develops Affordable Housing Solutions, Promotes Growth in Infrastructure, Encourages Youth Engagement."
206,Elizabeth May,"Elizabeth May, Green Party Member, Pro-Climate Action, Pro-Abortion Rights, Pro-Human Rights/Accessibility, Pro-Renewable Energy, Pro-Indigenous Rights, Pro-Internationalism, Pro-Public Health Care, Pro-Transparency, Pro-Tax Reform."
207,Dan Mazier,"Dan Mazier, Pro-Agriculture, Pro-Environment, Pro-Free Trade, Pro-Investment, Fiscal Responsibility, Open Data and Citizen Participation, Support of Human Rights and the Charter, Support of Aboriginal Nations, Criminal Justice Reform, Investing in STEM Education."
208,Kelly McCauley,"Kelly McCauley,pro-business,responsible fiscal management,support for veterans,commitment to responsible resource development,support for small businesses,respect for the law,support of parliamentary process,support of national security,commitment to innovation,defending Canadian values."
209,Phil McColeman,"Phil McColeman, Fiscal Responsibility, Smaller Government, Open Governance, Community Building, Trade and Investment Opportunities, Economic Support, National Defence Leadership, Tax Credits and Relief, Job Creation, Environment Protection."
210,Karen McCrimmon,"Karen McCrimmon,Liberal, Pro-environment, Pro-equality, Pro-Indigenous-rights, Pro-women's-rights, Pro-trade, Pro-free-and-fair-markets, Pro-transparency, Pro-inclusive-growth, Pro-collaboration"
211,Ken McDonald,"Ken McDonald, Supportive of Small Business, Advocate for Strengthening Trade, Focused on Regional Economic Development, Champion of Tourism Industry, Defender of Human Rights, Supporter of Military Families, Public Healthcare Advocate, Climate Change Action, Pro Taxpayer Accountability, Pro-Investment in education."
212,David McGuinty,"David McGuinty, Pro-environmental, Pro-Choice, Pro-Human Rights, Fiscally Responsible, Pro-Foreign Aid, Pro-Immigration, Pro-Diplomacy, Pro-Science, Pro-Civil Liberties, Pro-Labor Rights"
213,John McKay,"John McKay, Progressive, Collaborative, Fiscally Responsible, Pro-Environmental, Pro-Business, Constituent Focused, Results Driven, Anti-Deficit, Immigration Advocate, Pragmatic"
214,Catherine McKenna,"Catherine McKenna, Visionary, Passionate, Proactive, Supportive, Collaborative, Inclusive, Pro-Environment, Compassionate, Responsible, Engaging"
215,Ron McKinnon,"Ron McKinnon,Supportive-of-Indigenous-Communities,Pro-Small-Business,Fiscally-Responsible,Opportunity-and-Equality-Focused,Cautious-on-Climate-Change,In-favor-of-Renewable-Energy-Investment,Promotion-of-Technology,-Development-and-Innovation,The-Future-of-Work-Focus,Open-to-TransPacific-Partnerships,Defender-of-LGBTQ+-Rights"
216,Greg McLean,"Greg McLean, Pro-Environment, Pro-Education, Pro-Job Creation, Pro-Jobs Protection, Pro-Family Tax Reduction, Pro-Military Support, Pro-Equality, Pro-Nuclear Power, Pro-Social Spending, Pro-Small Business Support."
217,Cathy McLeod,"Cathy McLeod,Promotes responsible resource development, Supports taxation reform, Advocates for more equitable access to healthcare, Supports balanced budgets and fiscal responsibility, Believes in Canada's contribution to global security, Upholds the importance of local and small business development, Prioritizes better collaboration between the public and private sectors, Values transparency in government spending and the decision making process, Believes in affordable housing initiatives, Advocates for increased youth employment."
218,Michael McLeod,"Michael McLeod, Pro parks and recreation investments, Promoting SFN wildlife management and harvesting rights, Advocating for Indigenous communities, Supporting the development of northern infrastructure, Engagement on sustainable renewable energy initiatives, Supporting economic development opportunities, Creating jobs and opportunities in NWT, Protection and conservation of the environment, Strengthening social supports for vulnerable families, Income supports for unemployed workers."
219,Heather McPherson,"Heather McPherson, Pro-Environmental Action, Social Justice Advocate, Pro-Housing and Infrastructure Investment, Economic Recovery and Job Creation, Improved Quality of Life, Equitable Policies in Education, Access to Health Care, Promotion of Social Well-Being, Support for the Arts and Culture, Advancing Scientific Research."
